fekudo_vj3Q.0000.wav|데살로니가전서 3장
fekudo_vj3Q.0001.wav|이러므로 우리가 참다 못하여 우리만 아덴에 머물기를 좋게 생각하고
fekudo_vj3Q.0002.wav|우리 형제 곧 그리스도의 복음을 전하는 하나님의 일꾼인 디모데를 보내노니
fekudo_vj3Q.0003.wav|이는 너희를 굳건하게 하고 너희 믿음에 대하여 위로함으로
fekudo_vj3Q.0004.wav|아무도 이 여러 환난 중에 흔들리지 않게 하려 함이라
fekudo_vj3Q.0005.wav|우리가 이것을 위하여 세움 받은 줄을 너희가 친히 알리라
fekudo_vj3Q.0006.wav|우리가 너희와 함께 있을 때에 장차 받을 환난을 너희에게 미리 말하였는데
fekudo_vj3Q.0007.wav|과연 그렇게 된 것을 너희가 아느니라
fekudo_vj3Q.0008.wav|이러므로 나도 참다 못하여 너희 믿음을 알기 위하여 그를 보내었노니
fekudo_vj3Q.0009.wav|이는 혹 시험하는 자가 너희를 시험하여 우리 수고를 헛되게 할까 함이니
fekudo_vj3Q.0010.wav|지금은 디모데가 너희에게로부터 와서 너희 믿음과 사랑의 기쁜 소식을 우리에게 전하고
fekudo_vj3Q.0011.wav|또 너희가 항상 우리를 잘 생각하여 우리가 너희를 간절히 보고자 함과 같이
fekudo_vj3Q.0012.wav|너희도 우리를 간절히 보고자 한다 하니
fekudo_vj3Q.0013.wav|이러므로 형제들아
fekudo_vj3Q.0014.wav|우리가 모든 궁핍과 환난 가운데서
fekudo_vj3Q.0015.wav|너희 믿음으로 말미암아 너희에게 위로를 받았노라
fekudo_vj3Q.0016.wav|그러므로 너희가 주 안에 굳게 선즉 우리가 이제는 살리라
fekudo_vj3Q.0017.wav|우리가 우리 하나님 앞에서 너희로 말미암아 모든 기쁨으로 기뻐하니
fekudo_vj3Q.0018.wav|너희를 위하여 능히 어떠한 감사로 하나님께 보답할까 주야로 심히 간구함은 너희 얼굴을 보고 너희 믿음이 부족한 것을 보충하게 하려 함이라
fekudo_vj3Q.0019.wav|하나님 우리 아버지와 우리 주 예수는
fekudo_vj3Q.0020.wav|우리 길을 너희에게로 갈 수 있게 하시오며
fekudo_vj3Q.0021.wav|또 주께서 우리가 너희를 사랑함과 같이
fekudo_vj3Q.0022.wav|너희도 피차간과 모든 사람에 대한 사랑이 더욱 많아 넘치게 하사
fekudo_vj3Q.0023.wav|너희 마음을 굳건하게 하시고
fekudo_vj3Q.0024.wav|우리 주 예수께서 그의 모든 성도와 함께 강림하실 때에
fekudo_vj3Q.0025.wav|하나님 우리 아버지 앞에서 거룩함에 흠이 없
oy_zeZ6OnY0.0000.wav|데살로니가전서 4장
oy_zeZ6OnY0.0001.wav|그러므로 형제들아 우리가 끝으로 주 예수 안에서 너희에게 구하고 권면하노니
oy_zeZ6OnY0.0002.wav|너희가 마땅히 어떻게 행하며 하나님을 기쁘시게 할 수 있는지를 우리에게 배웠으니
oy_zeZ6OnY0.0003.wav|곧 너희가 행하는 바라 더욱 많이 힘쓰라
oy_zeZ6OnY0.0004.wav|우리가 주 예수로 말미암아 너희에게 무슨 명령으로 준 것을 너희가 아느니라
oy_zeZ6OnY0.0005.wav|하나님의 뜻은 이것이니 너희의 거룩함이라
oy_zeZ6OnY0.0006.wav|곧 음란을 버리고
oy_zeZ6OnY0.0007.wav|각각 거룩함과 존귀함으로 자기의 아내 대할 줄을 알고
oy_zeZ6OnY0.0008.wav|하나님을 모르는 이방인과 같이 색욕을 따르지 말고
oy_zeZ6OnY0.0009.wav|이 일에 분수를 넘어서 형제를 해하지 말라
oy_zeZ6OnY0.0010.wav|이는 우리가 너희에게 미리 말하고 증언한 것과 같이 이 모든 일에 주께서 신원하여 주심이라
oy_zeZ6OnY0.0011.wav|하나님이 우리를 부르심은 부정하게 하심이 아니요 거룩하게 하심이니
oy_zeZ6OnY0.0012.wav|그러므로 저버리는 자는 사람을 저버림이 아니요
oy_zeZ6OnY0.0013.wav|너희에게 그의 성령을 주신 하나님을 저버림이니라
oy_zeZ6OnY0.0014.wav|형제 사랑에 관하여는 너희에게 쓸 것이 없음은
oy_zeZ6OnY0.0015.wav|너희들 자신이 하나님의 가르치심을 받아 서로 사랑함이라
oy_zeZ6OnY0.0016.wav|너희가 온 마게도냐 모든 형제에 대하여 과연 이것을 행하도다
oy_zeZ6OnY0.0017.wav|형제들아 권하노니 더욱 그렇게 행하고
oy_zeZ6OnY0.0018.wav|또 너희에게 명한 것 같이 조용히 자기 일을 하고
oy_zeZ6OnY0.0019.wav|너희 손으로 일하기를 힘쓰라
oy_zeZ6OnY0.0020.wav|이는 외인에 대하여 단정히 행하고
oy_zeZ6OnY0.0021.wav|또한 아무 궁핍함이 없게 하려 함이라
oy_zeZ6OnY0.0022.wav|형제들아
oy_zeZ6OnY0.0023.wav|자는 자들에 관하여는 너희가 알지 못함을 우리가 원하지 아니하노니
oy_zeZ6OnY0.0024.wav|이는 소망 없는 다른 이와 같이 슬퍼하지 않게 하려 함이라
oy_zeZ6OnY0.0025.wav|우리가 예수께서 죽으셨다가 다시 살아나심을 믿을진대
oy_zeZ6OnY0.0026.wav|이와 같이 예수 안에서 자는 자들도 하나님이 그와 함께 데리고 오시리라
oy_zeZ6OnY0.0027.wav|우리가 주의 말씀으로 너희에게 이것을 말하노니
oy_zeZ6OnY0.0028.wav|주께서 강림하실 때까지 우리 살아 남아 있는 자도 자는 자보다 결코 앞서지 못하리라
oy_zeZ6OnY0.0029.wav|주께서 호령과 천사장의 소리와 하나님의 나팔 소리로 친히 하늘로부터 강림하시리니
oy_zeZ6OnY0.0030.wav|그리스도 안에서 죽은 자들이 먼저 일어나고
oy_zeZ6OnY0.0031.wav|그 후에 우리 살아 남은 자들도 그들과 함께 구름 속으로 끌어 올려 공중에서 주를 영접하게 하시리니
oy_zeZ6OnY0.0032.wav|그리하여 우리가 항상 주와 함께 있으리라
TsIVdGePxwA.0001.wav|야곱이 길을 떠나 동방 사람의 땅에 이르러
TsIVdGePxwA.0002.wav|본즉 들에 우물이 있고 그 곁에 양 세 떼가 누워 있으니
TsIVdGePxwA.0003.wav|이는 목자들이 그 우물에서 양 떼에게 물을 먹임이라
TsIVdGePxwA.0004.wav|큰 돌로 우물 아귀를 덮었다가
TsIVdGePxwA.0005.wav|모든 떼가 모이면 그들이 우물 아귀에서 돌을 옮기고
TsIVdGePxwA.0006.wav|그 양 떼에게 물을 먹이고는 우물 아귀 그 자리에 다시 그 돌을 덮더라
TsIVdGePxwA.0000.wav|창세기 29장
TsIVdGePxwA.0007.wav|야곱이 그들에게 이르되
TsIVdGePxwA.0008.wav|내 형제여 어디서 왔느냐
TsIVdGePxwA.0009.wav|그들이 이르되
TsIVdGePxwA.0010.wav|하란에서 왔노라
TsIVdGePxwA.0011.wav|야곱이 그들에게 이르되
TsIVdGePxwA.0012.wav|너희가 나홀의 손자 라반을 아느냐
TsIVdGePxwA.0013.wav|그들이 이르되 아노라
TsIVdGePxwA.0014.wav|야곱이 그들에게 이르되 그가 평안하냐 이르되 평안하니라
TsIVdGePxwA.0015.wav|그의 딸 라헬이 지금 양을 몰고 오느니라
TsIVdGePxwA.0016.wav|야곱이 이르되
TsIVdGePxwA.0017.wav|해가 아직 높은즉 가축 모일 때가 아니니 양에게 물을 먹이고 가서 풀을 뜯게 하라
TsIVdGePxwA.0018.wav|그들이 이르되
TsIVdGePxwA.0019.wav|우리가 그리하지 못하겠노라
TsIVdGePxwA.0020.wav|떼가 다 모이고 목자들이 우물 아귀에서 돌을 옮겨야 우리가 양에게 물을 먹이느니라
TsIVdGePxwA.0021.wav|야곱이 그들과 말하는 동안에 라헬이 그의 아버지의 양과 함께 오니
TsIVdGePxwA.0022.wav|그가 그의 양들을 치고 있었기 때문이더라
TsIVdGePxwA.0023.wav|야곱이 그의 외삼촌 라반의 딸 라헬과
TsIVdGePxwA.0024.wav|그의 외삼촌의 양을 보고 나아가 우물 아귀에서 돌을 옮기고
TsIVdGePxwA.0025.wav|외삼촌 라반의 양 떼에게 물을 먹이고
TsIVdGePxwA.0026.wav|그가 라헬에게 입맞추고 소리 내어 울며
TsIVdGePxwA.0027.wav|그에게 자기가 그의 아버지의 생질이요 리브가의 아들 됨을 말하였더니
TsIVdGePxwA.0028.wav|라헬이 달려가서 그 아버지에게 알리매
TsIVdGePxwA.0029.wav|라반이 그의 생질 야곱의 소식을 듣고 달려와서
TsIVdGePxwA.0030.wav|그를 영접하여 안고 입맞추며
TsIVdGePxwA.0031.wav|자기 집으로 인도하여 들이니
TsIVdGePxwA.0032.wav|야곱이 자기의 모든 일을 라반에게 말하매
TsIVdGePxwA.0033.wav|라반이 이르되
TsIVdGePxwA.0034.wav|너는 참으로 내 혈육이로다 하였더라
TsIVdGePxwA.0035.wav|야곱이 한 달을 그와 함께 거주하더니
TsIVdGePxwA.0036.wav|라반이 야곱에게 이르되
TsIVdGePxwA.0037.wav|네가 비록 내 생질이나 어찌 그저 내 일을 하겠느냐
TsIVdGePxwA.0038.wav|네 품삯을 어떻게 할지 내게 말하라
